Name	Length	Accession	GI
Mycobacterium massiliense strain Asan 41	603	JQ082066.1	381149338
Mycobacterium massiliense strain Asan 40	603	JQ082065.1	381149336
Mycobacterium massiliense strain Asan 39	603	JQ082064.1	381149334
Mycobacterium massiliense strain Asan 38	603	JQ082063.1	381149332
Mycobacterium massiliense strain Asan 35	603	JQ082062.1	381149330
Mycobacterium massiliense strain Asan 34	603	JQ082061.1	381149328
Mycobacterium massiliense strain Asan 32	603	JQ082060.1	381149326
Mycobacterium massiliense strain Asan 31	603	JQ082059.1	381149324
Mycobacterium massiliense strain Asan 30	603	JQ082058.1	381149322
Mycobacterium massiliense strain Asan 29	603	JQ082057.1	381149320
Mycobacterium massiliense strain Asan 27	603	JQ082056.1	381149318
Mycobacterium massiliense strain Asan 23	603	JQ082055.1	381149316
Mycobacterium massiliense strain Asan 22	603	JQ082054.1	381149314
Mycobacterium massiliense strain Asan 20	603	JQ082053.1	381149312
Mycobacterium massiliense strain Asan 19	603	JQ082052.1	381149310
Mycobacterium massiliense strain Asan 18	603	JQ082051.1	381149308
Mycobacterium massiliense strain Asan 17	603	JQ082050.1	381149306
Mycobacterium massiliense strain Asan 16	603	JQ082049.1	381149304
Mycobacterium massiliense strain Asan 15	603	JQ082048.1	381149302
Mycobacterium massiliense strain Asan 14	603	JQ082047.1	381149300
Mycobacterium massiliense strain Asan 13	603	JQ082046.1	381149298
Mycobacterium massiliense strain Asan 8	603	JQ082045.1	381149296
Mycobacterium massiliense strain Asan 7	603	JQ082044.1	381149294
Mycobacterium massiliense strain Asan 6	603	JQ082043.1	381149292
Mycobacterium massiliense strain Asan 5	603	JQ082042.1	381149290
Mycobacterium massiliense strain Asan 4	603	JQ082041.1	381149288
Mycobacterium massiliense strain Asan 2	603	JQ082040.1	381149286
Mycobacterium massiliense strain Asan 1	603	JQ082039.1	381149284
Mycobacterium intracellulare strain RGTB791 65	441	HM454234.1	320171713
Mycobacterium intracellulare strain RGTB729 65	441	HM454233.1	320171711
Mycobacterium intracellulare strain RGTB649 65	441	HM454232.1	320171709
Mycobacterium intracellulare strain RGTB228 65	441	HM454231.1	320171707
Mycobacterium smegmatis strain RGTB425 65	441	HM454230.1	320171705
Mycobacterium smegmatis strain RGTB229 65	441	HM454229.1	320171703
Mycobacterium senegalense strain RGTB192 65	441	HM454228.1	320171701
Mycobacterium parascrofulaceum strain RGTB594 65	441	HM454227.1	320171699
Mycobacterium parascrofulaceum strain RGTB576 65	441	HM454226.1	320171697
Mycobacterium intracellulare strain RGTB222 65	441	HM454225.1	320171695
Mycobacterium intracellulare strain RGTB220 65	441	HM454224.1	320171693
Mycobacterium gordonae strain RGTB230 65	441	HM454223.1	320171691
Mycobacterium avium strain RGTB570 65	441	HM454222.1	320171689
Mycobacterium avium strain RGTB475 65	441	HM454221.1	320171687
Mycobacterium avium strain RGTB30 65	441	HM454220.1	320171685
Mycobacterium abscessus strain RGTB350 65	441	HM454215.1	320171675
Mycobacterium abscessus strain RGTB180 65	441	HM454214.1	320171673
Mycobacterium setense strain CIP109395 Hsp65	401	EU371505.1	189187653
Mycobacterium sp. 2000-301223 65 kDa	441	EU054315.1	156066977
Mycobacterium septicum ATCC 700731 65	441	AY496142.1	41351828
Mycobacterium massiliense strain VRF_5120 heat	423	JN256218.1	373429381
Mycobacterium bolletii strain IAL029 heat	401	HQ404297.1	313759694
Mycobacterium bolletii strain B61 heat	401	FJ667551.1	225030856
Mycobacterium sp. GN-01 Hsp65 (hsp65)	401	EU568905.1	170660068
Mycobacterium ulcerans hsp65 gene for	401	AB624293.1	356640076
Mycobacterium ulcerans hsp65 gene for	401	AB624289.1	356640070
Mycobacterium ulcerans hsp65 gene for	401	AB624285.1	356640064
Mycobacterium ulcerans hsp65 gene for	401	AB624281.1	356640058
Mycobacterium ulcerans hsp65 gene for	401	AB624277.1	356640052
Mycobacterium ulcerans hsp65 gene for	401	AB624273.1	356640046
Mycobacterium ulcerans hsp65 gene for	401	AB624269.1	356640040
Mycobacterium ulcerans hsp65 gene for	401	AB624265.1	356640034
Mycobacterium ulcerans hsp65 gene for	401	AB624261.1	356640028
Mycobacterium ulcerans hsp65 gene for	401	AB548728.1	306407967
Mycobacterium kyorinense hsp65 gene for	424	AB370175.1	163838445
Mycobacterium kyorinense hsp65 gene for	424	AB370174.1	163838443
Mycobacterium kyorinense hsp65 gene for	424	AB370173.1	163838441
Mycobacterium arupense hsp65 gene for	424	AB239924.1	110796719
Mycobacterium arupense hsp65 gene for	424	AB239922.1	110796715
Mycobacterium avium complex strain 27497	994	EU239789.1	171466774
Mycobacterium avium complex strain 68257	1462	EU239786.1	171466771
Mycobacterium intracellulare strain ATCC 15985	994	EU239784.1	171466768
Mycobacterium sp. strain Komani 65	424	MG833736.1	1347830054
Mycobacterium sp. strain Mbekweni 65	424	MG833735.1	1347830052
Mycobacterium sp. strain Pan2s1 65	424	MG833734.1	1347830050
Mycobacterium abscessus subsp. bolletii strain	603	KX906898.1	1207206768
Mycobacterium abscessus subsp. bolletii strain	603	KX906897.1	1207206766
Mycobacterium abscessus subsp. bolletii strain	603	KX906896.1	1207206764
Mycobacterium shigaense hsp65 gene for	420	AB547402.2	1182510662
Mycobacterium sp. 8WA6 heat shock	440	KT592293.1	987390688
Mycobacterium angelicum strain JCM 18266	441	KC481266.1	485085070
Mycobacterium angelicum strain JCM 18267	419	FJ384764.1	209974187
Mycobacterium neoaurum strain ATCC 23072	402	FJ172323.1	207692958
Mycobacterium neoaurum strain ATCC 25801	402	FJ172321.1	207692954
Mycobacterium neoaurum strain ATCC 25796	402	FJ172319.1	207692950
Mycobacterium sp. B10-07.09.0206 65 kDa	401	HQ174246.1	327553819
Mycobacterium phocaicum strain CIP 108542	441	EU266579.1	161339313
Mycobacterium immunogenum strain CIP 106684	441	EU266577.1	161339309
Mycobacterium salmoniphilum strain MT1900 heat	401	EF535604.1	156079734
Mycobacterium salmoniphilum strain NCIMB13533 heat	401	EF535603.1	156079732
Mycobacterium florentinum strain DSM 44852	406	DQ350162.1	85792399
Mycobacterium yunnanensis strain DSM 44838	406	DQ350161.1	85792397
Mycobacterium hackensackense strain DSM 44833	424	DQ350160.1	85792395
Mycobacterium neglectum strain DSM 44756	407	DQ350159.1	85792393
Mycobacterium manitobense strain DSM 44615	402	DQ350158.1	85792391
Mycobacterium piscinum strain DSM 43272	412	DQ350155.1	85792385
Mycobacterium cosmeticum strain DSM 44829	422	DQ124111.1	71493337
Mycobacterium marinum strain AR-04-034 heat	401	DQ066744.1	67483149
Mycobacterium sp. K228YA 65 kDa	432	AY856441.1	57235704
Mycobacterium sp. K328YA 65 kDa	417	AY856440.1	57235702
Mycobacterium sp. M-JY12 65-kDa heat	633	AY520558.1	46487145
Mycobacterium sp. M-JY11 65-kDa heat	632	AY520557.1	46487143
Mycobacterium sp. M-JY10 65-kDa heat	628	AY520556.1	46487141
Mycobacterium sp. M-JY9 65-kDa heat	621	AY520555.1	46487139
Mycobacterium sp. M-JY8 65-kDa heat	634	AY520554.1	46487137
Mycobacterium sp. M-JY7 65-kDa heat	630	AY520553.1	46487135
Mycobacterium sp. M-JY6 65-kDa heat	627	AY520552.1	46487133
Mycobacterium sp. M-JY5 65-kDa heat	629	AY520551.1	46487131
Mycobacterium sp. M-JY4 65-kDa heat	634	AY520550.1	46487129
Mycobacterium sp. M-JY3 65-kDa heat	634	AY520549.1	46487127
Mycobacterium sp. M-JY2 65-kDa heat	633	AY520548.1	46487125
Mycobacterium sp. M-JY1 65-kDa heat	629	AY520547.1	46487123
Mycobacterium peregrinum isolate B1285 heat	441	AY379072.1	36365649
Mycobacterium kubicae strain ATCC 700732	603	AY373458.1	34495263
Mycobacterium hassiacum strain ATCC 700660	603	AY373456.1	34495259
Mycobacterium fortuitum strain ATCC 49404	603	AY373455.1	34495257
Mycobacterium xenopi strain ATCC 19250	603	AY373454.1	34495255
Mycobacterium lentiflavum strain ATCC 51985	603	AY373453.1	34495253
Mycobacterium gastri strain ATCC 15754	603	AY299182.1	34333402
Mycobacterium celatum strain ATCC 51130	603	AY299181.1	34333400
Mycobacterium celatum strain ATCC 51131	603	AY299180.1	34333398
Mycobacterium bovis BCG strain French	603	AY299179.1	34333396
Mycobacterium bovis strain ATCC 19210	603	AY299178.1	34333394
Mycobacterium africanum strain KIT 77710	603	AY299176.1	34333390
Mycobacterium tuberculosis strain KIT 77710	603	AY299175.1	34333388
Mycobacterium tuberculosis strain KIT 77009	603	AY299174.1	34333386
Mycobacterium szulgai strain KIT 31102	603	AY299173.1	34333384
Mycobacterium scrofulaceum strain KIT 30101	603	AY299172.1	34333382
Mycobacterium kansasii strain KIT 20119	603	AY299171.1	34333380
Mycobacterium kansasii strain KIT 20118	603	AY299170.1	34333378
Mycobacterium intracellulare strain KIT 41111	603	AY299169.1	34333376
Mycobacterium fortuitum strain KIT 60109	603	AY299168.1	34333374
Mycobacterium fortuitum strain KIT 60108	603	AY299167.1	34333372
Mycobacterium avium strain KIT 41110	603	AY299166.1	34333370
Mycobacterium wolinskyi strain ATCC 700010	603	AY299164.1	34333366
Mycobacterium vaccae strain ATCC 15483	603	AY299163.1	34333364
Mycobacterium thermoresistibile strain ATCC 19527	603	AY299162.1	34333362
Mycobacterium smegmatis strain ATCC 35796	603	AY299161.1	34333360
Mycobacterium senegalense strain ATCC 35796	603	AY299160.1	34333358
Mycobacterium peregrinum strain ATCC 14467	603	AY299159.1	34333356
Mycobacterium parafortuitum strain ATCC 19686	603	AY299157.1	34333352
Mycobacterium mucogenicum strain ATCC 49650	603	AY299155.1	34333348
Mycobacterium aurum strain ATCC 23366	603	AY299154.1	34333346
Mycobacterium fortuitum strain ATCC 49403	603	AY299153.1	34333344
Mycobacterium flavescens strain ATCC 14474	603	AY299151.1	34333340
Mycobacterium farcinogenes strain ATCC 35753	603	AY299150.1	34333338
Mycobacterium chitae strain ATCC 19627	603	AY299149.1	34333336
Mycobacterium chelonae strain ATCC 35749	603	AY299148.1	34333334
Mycobacterium aichiense strain ATCC 27280	603	AY299147.1	34333332
Mycobacterium abscessus strain CAP97E-03 heat	603	AY299146.1	34333330
Mycobacterium ulcerans strain ATCC 19423	603	AY299145.1	34333328
Mycobacterium tuberculosis strain ATCC 27294	603	AY299144.1	34333326
Mycobacterium triviale strain ATCC 23292	603	AY299143.1	34333324
Mycobacterium terrae strain ATCC 15755	603	AY299142.1	34333322
Mycobacterium szulgai strain ATCC 35799	603	AY299141.1	34333320
Mycobacterium shimoidei strain ATCC 25275	603	AY299140.1	34333318
Mycobacterium shimoidei strain ATCC 27962	603	AY299139.1	34333316
Mycobacterium scrofulaceum strain ATCC 19981	603	AY299138.1	34333314
Mycobacterium nonchromogenicum strain ATCC 19530	603	AY299136.1	34333310
Mycobacterium microti strain ATCC 19422	603	AY299135.1	34333308
Mycobacterium marinum strain ATCC 927	603	AY299134.1	34333306
Mycobacterium asiaticum strain ATCC 25276	603	AY299133.1	34333304
Mycobacterium parascrofulaceum strain U02127 65	441	AY337278.1	33392218
Mycobacterium parascrofulaceum strain U01260 65	441	AY337277.1	33392216
Mycobacterium parascrofulaceum strain U02532 65	441	AY337276.1	33392214
Mycobacterium parascrofulaceum strain U02307 65	441	AY337275.1	33392212
Mycobacterium kansasii strain ATCC 12478	401	AF434739.1	16904119
Mycobacterium paraseoulense strain DSM 45000	426	HM602042.1	311088577
Mycobacterium mantenii strain CIP 109863	408	HM602041.1	311088575
Mycobacterium kyorinense strain DSM 45166	414	HM602040.1	311088573
Mycobacterium bouchedurhonense strain CIP 109827	414	HM602039.1	311088571
Mycobacterium timonense strain CIP 109830	425	HM602038.1	311088569
Mycobacterium marseillense strain CIP 109828	416	HM602037.1	311088567
Mycobacterium psychrotolerans strain DSM 44697	411	HM602035.1	311088563
Mycobacterium paraffinicum strain 07-768 Hsp65	401	GQ153286.1	243010703
Mycobacterium paraffinicum strain 07-697 Hsp65	401	GQ153285.1	243010701
Mycobacterium paraffinicum strain 07-603 Hsp65	401	GQ153284.1	243010699
Mycobacterium paraffinicum strain 07-509 Hsp65	401	GQ153283.1	243010697
Mycobacterium paraffinicum strain 06-839 Hsp65	401	GQ153282.1	243010695
Mycobacterium sp. P54 Hsp65 (hsp65)	624	GQ178076.1	241897478
Mycobacterium massiliense strain 28803 heat	441	FJ859885.1	226934675
Mycobacterium africanum strain ATCC 25420	441	FJ617583.1	226875165
Mycobacterium gordonae isolate MGO-h 65	441	FJ643464.1	223470401
Mycobacterium gordonae isolate MGO-g 65	441	FJ643463.1	223470399
Mycobacterium gordonae isolate MGO-f 65	441	FJ643462.1	223470397
Mycobacterium gordonae isolate MGO-e 65	441	FJ643461.1	223470395
Mycobacterium gordonae isolate MGO-d 65	441	FJ643460.1	223470393
Mycobacterium gordonae isolate MGO-c 65	441	FJ643459.1	223470391
Mycobacterium gordonae isolate MGO-b 65	441	FJ643458.1	223470389
Mycobacterium gordonae isolate MGO-a 65	441	FJ643457.1	223470387
Mycobacterium intracellulare isolate MIN 65	441	FJ643456.1	223470385
Mycobacterium avium isolate MAV-e 65	441	FJ643455.1	223470383
Mycobacterium avium isolate MAV-d 65	441	FJ643454.1	223470381
Mycobacterium avium isolate MAV-c 65	441	FJ643453.1	223470379
Mycobacterium avium isolate MAV-b 65	441	FJ643452.1	223470377
Mycobacterium avium isolate MAV-a 65	441	FJ643451.1	223470375
Mycobacterium sp. Metcalfe heat shock	401	EF611178.1	149364129
Mycobacterium sp. Simba heat shock	401	EF611173.1	149364121
Mycobacterium phocaicum isolate MUCO_06-708 65	1570	EF551431.1	146552200
Mycobacterium phocaicum isolate MUCO_06-699 65	1570	EF551430.1	146552198
Mycobacterium phocaicum isolate MUCO_06-703 65	1570	EF551429.1	146552196
Mycobacterium phocaicum isolate MUCO_07-444 65	1570	EF551428.1	146552194
Mycobacterium phocaicum isolate MUCO_06-711 65	1570	EF551427.1	146552192
Mycobacterium mucogenicum isolate MUCO_06-693 65	1570	EF551426.1	146552190
Mycobacterium mucogenicum isolate MUCO_06-606 65	1570	EF551425.1	146552188
Mycobacterium mucogenicum isolate MUCO_06-13162 65	1570	EF551424.1	146552186
Mycobacterium mucogenicum isolate MUCO_06-707 65	1570	EF551422.1	146552184
Mycobacterium mucogenicum isolate MUCO_06-700 65	1570	EF551414.1	146552182
Mycobacterium phocaicum isolate MUCO_06-696 65	1570	EF551410.1	146552180
Mycobacterium mucogenicum isolate MUCO_06-704 65	1570	EF551423.1	146552178
Mycobacterium mucogenicum isolate MUCO_07-710 65	1570	EF551421.1	146552176
Mycobacterium mucogenicum isolate MUCO_07-445 65	1570	EF551420.1	146552174
Mycobacterium mucogenicum isolate MUCO_06-698 65	1570	EF551419.1	146552172
Mycobacterium mucogenicum isolate MUCO_07-442 65	1570	EF551418.1	146552170
Mycobacterium mucogenicum isolate MUCO_06-697 65	1570	EF551417.1	146552168
Mycobacterium mucogenicum isolate MUCO_06-691 65	1570	EF551416.1	146552166
Mycobacterium phocaicum isolate MUCO_06-705 65	1570	EF551415.1	146552164
Mycobacterium phocaicum isolate MUCO_07-443 65	1570	EF551413.1	146552162
Mycobacterium mucogenicum isolate MUCO_06-692 65	1570	EF551412.1	146552160
Mycobacterium mucogenicum isolate MUCO_06-690 65	1570	EF551411.1	146552158
Mycobacterium mucogenicum isolate MUCO_06-694 65	1570	EF551409.1	146552156
Mycobacterium paragordonae strain 334 65	603	KT782261.1	949177623
Mycobacterium paragordonae strain 16 65	603	KT782260.1	949177621
Mycobacterium sp. HNP-1 heat shock	441	KT284832.1	917547998
Mycobacterium paraense strain IEC34 65	644	HM056145.1	296936596
Mycobacterium paraense strain IEC33 65	644	HM056144.1	296936594
Mycobacterium paraense strain IEC32 65	644	HM056143.1	296936592
Mycobacterium paraense strain IEC31 65	644	HM056142.1	296936590
Mycobacterium paraense strain IEC28 65	644	HM056139.1	296936584
Mycobacterium paraense strain IEC23 65	644	HM056135.1	296936576
Mycobacterium massiliense strain AFP-000136 heat	413	JX294384.1	404551244
Mycobacterium sp. E498 heat shock	402	AY379074.2	659496374
Mycobacterium chimaera strain DSM 44623	1503	JF795578.1	381149416
Mycobacterium simiae hsp65 gene for	401	AB547411.1	342305176
Mycobacterium stomatepiae strain KKA 2409	403	JX091372.1	399207683
Mycobacterium sp. MOTT-01 heat shock	603	JF271814.1	341573769
Mycobacterium sp. MOTT-64 heat shock	603	JF271813.1	341573767
Mycobacterium sp. MOTT-12 heat shock	603	JF271812.1	341573765
Mycobacterium sp. MOTT-27 heat shock	603	JF271811.1	341573763
Mycobacterium sp. MOTT-90 heat shock	603	JF271809.1	341573759
Mycobacterium sp. h2 heat shock	603	JF271808.1	341573757
Mycobacterium mageritense strain 04K678 65	441	EU732652.1	190364853
Mycobacterium senegalense strain ATCC 35796	441	AY684045.1	51038403
Mycobacterium massiliense strain P15 65	624	FJ536249.1	217426201
Mycobacterium massiliense strain P14 65	624	FJ536248.1	217426199
Mycobacterium massiliense strain P13 65	624	FJ536247.1	217426197
Mycobacterium massiliense strain P12 65	624	FJ536246.1	217426195
Mycobacterium massiliense strain P11 65	624	FJ536245.1	217426193
Mycobacterium massiliense strain P10 65	624	FJ536244.1	217426191
Mycobacterium massiliense strain P9 65	624	FJ536243.1	217426189
Mycobacterium massiliense strain P8 65	624	FJ536242.1	217426187
Mycobacterium massiliense strain P7 65	624	FJ536241.1	217426185
Mycobacterium bolletii strain P6 65	624	FJ536240.1	217426183
Mycobacterium bolletii strain P5 65	624	FJ536239.1	217426181
Mycobacterium bolletii strain P4 65	624	FJ536238.1	217426179
Mycobacterium bolletii strain P3 65	624	FJ536237.1	217426177
Mycobacterium aubagnense strain CCUG 50186	415	DQ987727.1	116272418
Mycobacterium phocaicum strain CCUG 50185	415	DQ987726.1	116272416
Mycobacterium houstonense strain DSM 44676	415	DQ987725.1	116272414
Mycobacterium shottsii strain NCTC 13215	415	DQ987723.1	116272410
Mycobacterium tilburgii strain 092405-1 65	415	HM588695.1	301350794
Mycobacterium pseudoshottsii partial hsp65 gene	401	AM902956.1	159147522
Mycobacterium fortuitum strain ARO15 heat	417	MF280110.1	1340273762
Mycobacterium shimoidei strain 1645 65	431	MF411150.1	1269859047
Mycobacterium marinum strain 7873 65	431	MF411149.1	1269859045
Mycobacterium marinum strain 6865 65	431	MF411148.1	1269859043
Mycobacterium marinum strain 526A 65	432	MF411147.1	1269859041
Mycobacterium marinum strain 1123 65	431	MF411146.1	1269859039
Mycobacterium sp. 'ratisbonense' partial hsp65	401	LT795122.1	1162561417
Mycobacterium sp. NE-TNMC-100812 Hsp65 (hsp65)	957	KY308182.1	1114067999
Mycobacterium sp. NAZ190054 65 kDa	411	KU948043.1	1023535559
Mycobacterium thermoresistibile strain GN-6223 65	420	FJ236482.1	209967634
Mycobacterium setense strain 74023791 Hsp65	401	EU371508.1	189187658
Mycobacterium sp. BF5b heat shock	550	EU478699.1	186892401
Mycobacterium sp. 453-022 65kDa heat	401	HQ446196.1	344049586
Mycobacterium sp. 453-019 65kDa heat	401	HQ446195.1	344049584
Mycobacterium sp. 324-958 65kDa heat	401	HQ446194.1	344049582
Mycobacterium sp. 324-953 65kDa heat	401	HQ446193.1	344049580
Mycobacterium sp. 324-844 65kDa heat	401	HQ446192.1	344049578
Mycobacterium sp. 324-815 65kDa heat	401	HQ446191.1	344049576
Mycobacterium sp. 324-692 65kDa heat	401	HQ446190.1	344049574
Mycobacterium sp. 324-669 65kDa heat	401	HQ446189.1	344049572
Mycobacterium sp. 324-668 65kDa heat	401	HQ446188.1	344049570
Mycobacterium sp. 324-648 65kDa heat	401	HQ446187.1	344049568
Mycobacterium sp. 324-635 65kDa heat	401	HQ446186.1	344049566
Mycobacterium sp. 324-575 65kDa heat	401	HQ446185.1	344049564
Mycobacterium sp. 324-569 65kDa heat	401	HQ446184.1	344049562
Mycobacterium sp. 324-166 65kDa heat	401	HQ446183.1	344049560
Mycobacterium sp. 324-137 65kDa heat	401	HQ446182.1	344049558
Mycobacterium sp. 324-016 65kDa heat	401	HQ446181.1	344049556
Mycobacterium sp. 164-251 65kDa heat	401	HQ446180.1	344049554
Uncultured Mycobacterium sp. clone 2010AIR23	420	HQ872013.1	329184535
Uncultured Mycobacterium sp. clone 2010AIR22	445	HQ872012.1	329184533
Uncultured Mycobacterium sp. clone 2010AIR21	422	HQ872011.1	329184531
Uncultured Mycobacterium sp. clone 2010HPT56	423	HQ872010.1	329184529
Mycobacterium gordonae strain Tropicalis-2 65	441	EU486081.1	169261303
Mycobacterium brasiliensis strain Rio559.03 heat	441	EU165539.1	158187320
Mycobacterium peregrinum strain 03/423 heat	442	EU156064.1	157784157
Mycobacterium engbaekii Hsp65 gene, partial	442	EU140946.1	157419776
Mycobacterium sp. X1 65 kDa	550	DQ078789.1	71726763
Mycobacterium neoaurum strain KKA 641Seq	427	DQ081188.1	68136660
Mycobacterium abscessus Hsp65 type II	441	AY603554.1	47558854
Mycobacterium abscessus Hsp65 type I	441	AY603553.1	47558852
Mycobacterium sp. 'variant VM872' 65	401	AY550239.1	45593791
Mycobacterium gordonae strain variant MS460	401	AY550237.1	45593787
Mycobacterium interjectum strain variant MS102	401	AY550236.1	45593785
Mycobacterium intracellulare strain X variant	401	AY550235.1	45593783
Mycobacterium kansasii strain variant MS266	401	AY550234.1	45593781
Mycobacterium kansasii strain variant MS318	401	AY550233.1	45593779
Mycobacterium lepraemurium strain variant TS130	401	AY550232.1	45593777
Mycobacterium marinum strain variant MS286	401	AY550230.1	45593775
Mycobacterium mucogenicum strain variant MS200	401	AY550229.1	45593773
Mycobacterium scrofulaceum strain variant MS310	401	AY550228.1	45593771
Mycobacterium scrofulaceum strain variant MS346	401	AY550227.1	45593769
Mycobacterium pseudoshottsii strain L1 65	401	AY550226.1	45593767
Mycobacterium simiae strain variant MS685	401	AY550224.1	45593763
Mycobacterium simiae strain variant VM938	401	AY550223.1	45593761
Mycobacterium sp. 'MCRO 24 variant	401	AY550222.1	45593759
Mycobacterium sp. 'MCRO 33 variant	401	AY550221.1	45593757
Mycobacterium sp. 'MCRO 6 variant	401	AY550220.1	45593755
Mycobacterium sp. 'MCRO 8 variant	401	AY550219.1	45593753
Mycobacterium sp. 'variant MS122' 65	401	AY550218.1	45593751
Mycobacterium sp. 'variant MS398' 65	401	AY550217.1	45593749
Mycobacterium sp. 'variant MS430' 65	401	AY550216.1	45593747
Mycobacterium sp. 'variant MS670' 65	401	AY550215.1	45593745
Mycobacterium avium strain variant MS586	401	AY550214.1	45593743
Mycobacterium terrae strain variant MS267	401	AY550213.1	45593741
Mycobacterium terrae strain variant MS699	401	AY550212.1	45593739
Mycobacterium terrae strain variant VM372	401	AY550211.1	45593737
Mycobacterium triplex strain variant MS418	401	AY550210.1	45593735
Mycobacterium ulcerans strain U1 65	401	AY550209.1	45593733
Mycobacterium visibile strain 94-2864 65	401	AY550208.1	45593731
Mycobacterium xenopi strain variant VM270	401	AY550207.1	45593729
Mycobacterium chelonae strain ATCC 19237	424	AY458082.1	42416862
Mycobacterium mucogenicum strain ATCC 49651	424	AY458080.1	42416858
Mycobacterium mucogenicum strain ATCC 49649	424	AY458078.1	42416854
Mycobacterium liflandii 65 kDa heat	401	AY500839.1	41388041
Mycobacterium malmoense strain ATCC 29571	603	AY299193.1	34333424
Mycobacterium leprae heat shock protein	603	AY299192.1	34333422
Mycobacterium intermedium strain ATCC 51848	603	AY299187.1	34333412
Mycobacterium interjectum strain ATCC 51457	603	AY299186.1	34333410
Mycobacterium gordonae strain ATCC 14470	603	AY299184.1	34333406
Mycobacterium genavense strain ATCC 51233	603	AY299183.1	34333404
Mycobacterium avium heat shock protein	1624	AF281650.1	9652215
Mycobacterium intracellulare 65 kDa heat	441	AF126034.1	4761528
Mycobacterium avium 65 kDa heat	441	AF126033.1	4761526
Mycobacterium avium 65 kDa heat	441	AF126032.1	4761524
Mycobacterium avium 65 kDa heat	441	AF126031.1	4761522
Mycobacterium parmense strain InDRE Hy1	401	HQ634149.1	315318945
Mycobacterium gordonae GroEL (hsp65) gene,	401	HQ393963.1	312166130
Mycobacterium conceptionense strain M137 heat	507	HM536983.1	311901493
Mycobacterium novocastrense strain HNTM1 65	595	HM807282.1	310877317
Mycobacterium setense strain HNTM46 heat	582	HQ229608.1	308367815
Mycobacterium sp. FSD4b-SM 65 kDa	401	HM210439.1	307147726
Mycobacterium sp. AQ11356 65 kDa	401	HM210438.1	307147724
Mycobacterium sp. AQ4GA22 65 kDa	401	HM210437.1	307147722
Mycobacterium sp. AQ4GA9 65 kDa	401	HM210436.1	307147720
Mycobacterium sp. AQ4GA8 65 kDa	401	HM210435.1	307147718
Mycobacterium sp. AQ1M16 65 kDa	401	HM210434.1	307147716
Mycobacterium sp. AQ1M06 65 kDa	401	HM210433.1	307147714
Mycobacterium sp. AQ1M04 65 kDa	401	HM210432.1	307147712
Mycobacterium sp. AQ1GA10 65 kDa	401	HM210431.1	307147710
Mycobacterium sp. AQ1GA4 65 kDa	401	HM210430.1	307147708
Mycobacterium sp. AQ1GA3 65 kDa	401	HM210429.1	307147706
Mycobacterium sp. AQ1GA1 65 kDa	401	HM210428.1	307147704
Mycobacterium marinum strain NLA001000526 65	424	HM359134.1	300807842
Mycobacterium parascrofulaceum strain M79 65	439	HM229795.1	299013544
Mycobacterium elephantis strain M202 65	597	HM229789.1	299013540
Mycobacterium sp. Asan 37990 heat	1503	FJ849777.1	269799013
Mycobacterium sp. Asan 35644 heat	1503	FJ849774.1	269799011
Mycobacterium sp. Asan 37845 heat	1503	FJ849771.1	269799009
Mycobacterium sp. Asan 37889 heat	1503	FJ849768.1	269799007
Mycobacterium sp. Asan 37680 heat	1503	FJ849765.1	269799005
Mycobacterium sp. Asan 35609 heat	1503	FJ849761.1	269799003
Mycobacterium marinum strain NT1 heat	441	FJ868212.1	226934926
Mycobacterium wolinskyi clone CRM-0267 65	441	FJ531484.1	219958093
Mycobacterium triviale strain DSM 44153	424	AF547883.1	27502330
Mycobacterium sphagni strain DSM 44076	424	AF547877.1	27502318
Mycobacterium shimoidei strain DSM 44152	424	AF547874.1	27502312
Mycobacterium porcinum strain DSM 44242	424	AF547867.1	27502298
Mycobacterium nonchromogenicum strain DSM 44164	424	AF547861.1	27502286
Mycobacterium interjectum strain DSM 44064	424	AF547846.1	27502256
Mycobacterium gilvum strain DSM 44503	424	AF547838.1	27502240
Mycobacterium genavense strain DSM 44424	424	AF547837.1	27502238
Mycobacterium frederiksbergense strain DSM 44346	424	AF547834.1	27502232
Mycobacterium farcinogenes strain DSM 43637	424	AF547830.1	27502224
Mycobacterium doricum strain DSM 44339	424	AF547826.1	27502216
Mycobacterium bovis strain CIP 105050	424	AF547814.1	27502192
Mycobacterium botniense strain DSM 44537	424	AF547812.1	27502188
Mycobacterium aichiense strain DSM 44147	424	AF547804.1	27502172
Mycobacterium marinum isolate S4 heat	1648	AF456474.1	24571122
Mycobacterium sp. 185-409 heat shock	1648	AF456473.1	24571119
Mycobacterium sp. 'graecum DL049' heat	1651	AF456472.1	24571116
Mycobacterium marinum strain hellenicum DL045	1648	AF456471.1	24571113
Mycobacterium marinum strain ATCC 927	1648	AF456470.1	24571110
Mycobacterium marinum strain cyprinum CC240299	1648	AF456469.1	24571107
Mycobacterium marinum strain eilaticum DL240490	1648	AF456468.1	24571104
Mycobacterium insubricum strain FI-05244 Hsp65	410	EF584489.1	148283505
Mycobacterium insubricum strain FI-06215 Hsp65	414	EF584488.1	148283503
Mycobacterium gordonae 65 kDa heat	441	EF546780.1	146386319
Uncultured Mycobacterium sp. clone sta33	414	KX250268.1	1043338031
Uncultured Mycobacterium sp. clone sta15	440	KX250267.1	1043338029
Mycobacterium haemophilum strain SD heat	635	DQ851571.1	113871079
